41,net.sourceforge.ganttproject.gui.previousState.GanttDialogCompareToPreviousState.java:47,1
41,net.sourceforge.ganttproject.gui.GanttDialogCustomColumn.java:194,1
41,net.sourceforge.ganttproject.ResourceTreeTable.java:159,1
41,net.sourceforge.ganttproject.GanttTreeTable.java:381,1
41,net.sourceforge.ganttproject.io.GanttCSVExport.java:254,1
41,net.sourceforge.ganttproject.chart.TaskRendererImpl.java:962,0
41,net.sourceforge.ganttproject.GanttProject.java:1218,1
41,net.sourceforge.ganttproject.gui.options.LnFSettingsPanel.java:77,1
41,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:883,0
41,net.sourceforge.ganttproject.GanttTree2.java:1286,1
41,net.sourceforge.ganttproject.task.TaskProperties.java:41,1
41,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:627,0
41,net.sourceforge.ganttproject.gui.ResourceDialogCustomColumn.java:271,1
41,net.sourceforge.ganttproject.GanttTree2.java:2090,0
41,net.sourceforge.ganttproject.GPTreeTableBase.java:72,0
43,net.sourceforge.ganttproject.ResourceTreeTable.java:159,1
43,net.sourceforge.ganttproject.task.TaskProperties.java:41,0
43,net.sourceforge.ganttproject.gui.ResourceDialogCustomColumn.java:271,0
43,net.sourceforge.ganttproject.gui.options.LnFSettingsPanel.java:77,1
43,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:627,0
43,net.sourceforge.ganttproject.GanttTree2.java:1286,1
43,net.sourceforge.ganttproject.chart.TaskRendererImpl.java:962,1
43,net.sourceforge.ganttproject.GPTreeTableBase.java:72,0
43,net.sourceforge.ganttproject.gui.GanttDialogCustomColumn.java:194,1
43,net.sourceforge.ganttproject.GanttProject.java:1218,1
43,net.sourceforge.ganttproject.gui.previousState.GanttDialogCompareToPreviousState.java:47,0
43,net.sourceforge.ganttproject.io.GanttCSVExport.java:254,1
43,net.sourceforge.ganttproject.GanttTree2.java:2090,0
43,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:883,0
43,net.sourceforge.ganttproject.GanttTreeTable.java:381,1
45,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:883,0
45,net.sourceforge.ganttproject.GPTreeTableBase.java:72,0
45,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:627,0
45,net.sourceforge.ganttproject.GanttProject.java:1218,1
45,net.sourceforge.ganttproject.io.GanttCSVExport.java:254,0
45,net.sourceforge.ganttproject.chart.TaskRendererImpl.java:962,1
45,net.sourceforge.ganttproject.gui.ResourceDialogCustomColumn.java:271,0
45,net.sourceforge.ganttproject.GanttTree2.java:2090,1
45,net.sourceforge.ganttproject.GanttTree2.java:1286,1
45,net.sourceforge.ganttproject.task.TaskProperties.java:41,1
45,net.sourceforge.ganttproject.GanttTreeTable.java:381,1
45,net.sourceforge.ganttproject.gui.GanttDialogCustomColumn.java:194,1
45,net.sourceforge.ganttproject.gui.options.LnFSettingsPanel.java:77,1
45,net.sourceforge.ganttproject.gui.previousState.GanttDialogCompareToPreviousState.java:47,1
45,net.sourceforge.ganttproject.ResourceTreeTable.java:159,1
46,net.sourceforge.ganttproject.GanttTreeTable.java:381,1
46,net.sourceforge.ganttproject.chart.TaskRendererImpl.java:962,1
