1;com.aelitis.azureus.core.proxy.socks.impl.AESocksProxyConnectionImpl;1
1;org.gudy.azureus2.pluginsimpl.local.download.DownloadImpl;1
1;org.gudy.azureus2.ui.console.ConsoleInput;1
1;org.gudy.azureus2.core3.util.TorrentUtils;1
1;org.gudy.azureus2.core3.tracker.host.impl.TRHostTorrentHostImpl;1
1;org.gudy.azureus2.core3.util.DirectByteBufferPool;1
1;org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;1
1;com.aelitis.azureus.core.dht.db.impl.DHTDBImpl;1
1;org.gudy.azureus2.core3.disk.impl.access.impl.DMWriterAndCheckerImpl;1
1;org.gudy.azureus2.core3.download.impl.DownloadManagerImpl;1
1;com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileManagerImpl;1
1;org.gudy.azureus2.core3.torrent.impl.TOTorrentImpl;1
1;org.gudy.azureus2.core3.download.impl.DownloadManagerStateImpl;1
1;org.gudy.azureus2.ui.swt.views.TableView;1
1;org.gudy.azureus2.core3.tracker.client.impl.bt.TRTrackerBTAnnouncerImpl;1
1;org.gudy.azureus2.ui.swt.maketorrent.SavePathPanel;0
1;org.bouncycastle.asn1.DERConstructedSet;0
1;org.gudy.azureus2.core3.download.DownloadManagerState;0
1;com.aelitis.azureus.core.dht.transport.DHTTransportReplyHandler;0
1;org.bouncycastle.jce.spec.IEKeySpec;0
1;org.gudy.azureus2.pluginsimpl.local.peers.PeerManagerImpl;0
1;org.gudy.azureus2.ui.swt.components.BufferedLabel;0
1;org.gudy.azureus2.ui.swt.welcome.WelcomeWindow;0
1;org.gudy.azureus2.ui.swt.views.tableitems.mytorrents.DownSpeedItem;0
1;org.bouncycastle.crypto.params.ElGamalParameters;0
1;org.bouncycastle.asn1.x509.NameConstraints;0
1;org.gudy.azureus2.ui.swt.animations.shell.AnimableShell;0
1;org.gudy.azureus2.pluginsimpl.update.sf.impl2.SFPluginDetailsLoaderImpl;0
1;org.bouncycastle.crypto.params.ECPrivateKeyParameters;0
1;org.gudy.azureus2.core3.tracker.host.TRHostTorrentRequest;0
1;org.gudy.azureus2.core3.tracker.server.TRTrackerServerRequest;0
1;org.gudy.azureus2.plugins.tracker.TrackerTorrentRequest;0
