2,org.eclipse.jdt.internal.compiler.ast.NormalAnnotation.java;org.eclipse.jdt.internal.formatter.CodeFormatterVisitor.java,0
2,org.gjt.sp.jedit.Macros.java;org.gjt.sp.jedit.jEdit.java,1
2,org.argouml.ui.cmd.ActionWrapper.java;org.argouml.ui.cmd.ShortcutMgr.java,1
2,org.eclipse.jdt.internal.compiler.ClassFile.java;org.eclipse.jdt.internal.compiler.codegen.StackMapFrame.java,0
2,org.gjt.sp.jedit.Buffer.java;org.gjt.sp.jedit.io.VFS.java,1
2,org.eclipse.jdt.internal.compiler.ASTVisitor.java;org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference.java,1
2,org.eclipse.jdt.internal.codeassist.CompletionEngine.java;org.eclipse.jdt.internal.codeassist.InternalCompletionProposal.java,1
2,org.eclipse.jdt.core.JavaCore.java;org.eclipse.jdt.core.formatter.DefaultCodeFormatterConstants.java,0
2,org.argouml.uml.ui.TabProps.java;org.argouml.uml.ui.PropPanel.java,1
2,org.eclipse.jdt.internal.core.util.Disassembler.java;org.eclipse.jdt.internal.core.util.DefaultBytecodeVisitor.java,1
2,org.eclipse.jdt.core.dom.QualifiedName.java;org.eclipse.jdt.internal.compiler.ASTVisitor.java,0
2,org.gjt.sp.jedit.jEdit.java;org.gjt.sp.jedit.Mode.java,0
2,org.gjt.sp.jedit.jEdit.java;org.gjt.sp.jedit.io.VFS.java,1
2,org.eclipse.jdt.core.dom.ASTVisitor.java;org.eclipse.jdt.internal.compiler.parser.Parser.java,0
2,org.argouml.swingext.JLinkButton.java:224;org.argouml.swingext.JLinkButton.java:65,0
7,org.eclipse.jdt.internal.compiler.ast.NormalAnnotation.java;org.eclipse.jdt.internal.formatter.CodeFormatterVisitor.java,0
7,org.gjt.sp.jedit.Macros.java;org.gjt.sp.jedit.jEdit.java,0
7,org.argouml.ui.cmd.ActionWrapper.java;org.argouml.ui.cmd.ShortcutMgr.java,0
7,org.eclipse.jdt.internal.compiler.ClassFile.java;org.eclipse.jdt.internal.compiler.codegen.StackMapFrame.java,1
7,org.gjt.sp.jedit.Buffer.java;org.gjt.sp.jedit.io.VFS.java,1
7,org.eclipse.jdt.internal.compiler.ASTVisitor.java;org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference.java,1
7,org.eclipse.jdt.internal.codeassist.CompletionEngine.java;org.eclipse.jdt.internal.codeassist.InternalCompletionProposal.java,1
7,org.eclipse.jdt.core.JavaCore.java;org.eclipse.jdt.core.formatter.DefaultCodeFormatterConstants.java,1
7,org.argouml.uml.ui.TabProps.java;org.argouml.uml.ui.PropPanel.java,1
7,org.eclipse.jdt.internal.core.util.Disassembler.java;org.eclipse.jdt.internal.core.util.DefaultBytecodeVisitor.java,0
7,org.eclipse.jdt.core.dom.QualifiedName.java;org.eclipse.jdt.internal.compiler.ASTVisitor.java,0
7,org.gjt.sp.jedit.jEdit.java;org.gjt.sp.jedit.Mode.java,0
