net.sourceforge.ganttproject.action.ResourceActionSet,0,0,0,0,0,0,0,0,0,0
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction,0,0,0,0,0,0,0,0,0,0
net.sourceforge.ganttproject.chart.ChartViewState,0,0,0,0,1,1,0,0,0,0
net.sourceforge.ganttproject.ChartComponentBase,1,0,0,0,1,1,0,1,0,0
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,0,0,0,0,0,0,0,0,0,0
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer,0,1,1,0,1,1,0,1,1,0
net.sourceforge.ganttproject.chart.TaskRendererImpl,1,1,1,1,0,1,1,1,1,1
net.sourceforge.ganttproject.GanttProject.ExportFileInfo,0,0,1,0,1,1,1,1,1,1
net.sourceforge.ganttproject.GanttResourcePanel,1,1,0,1,1,1,1,1,1,0
net.sourceforge.ganttproject.GanttTreeTable,1,0,1,1,1,1,1,1,1,1
net.sourceforge.ganttproject.GanttTreeTableModel,0,0,0,0,1,1,1,1,1,0
net.sourceforge.ganttproject.GPTreeTableBase,0,0,0,0,0,0,1,0,0,0
net.sourceforge.ganttproject.gui.options.LnFSettingsPanel,0,0,1,1,1,1,1,1,1,0
net.sourceforge.ganttproject.resource.HumanResourceManager,0,0,0,0,0,0,1,1,0,0
net.sourceforge.ganttproject.ResourceLoadGraphicArea,0,0,0,1,1,1,0,0,1,0
net.sourceforge.ganttproject.ResourceTreeTable,1,0,1,0,1,1,1,1,1,0
net.sourceforge.ganttproject.ResourceTreeTableModel,0,0,0,0,0,1,1,1,1,0
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,0,0,0,0,1,0,1,0,0,0
net.sourceforge.ganttproject.task.TaskImpl,1,1,1,1,1,1,1,1,1,1
net.sourceforge.ganttproject.task.TaskManagerImpl,1,1,0,1,1,1,1,1,1,1
